
2025/04/26 (17:59:04) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/26 (17:59:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/26 (18:03:46) | ===> btop++ v.1.3.0
2025/04/26 (18:03:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/26 (18:03:46) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/26 (18:03:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/26 (19:02:02) | ===> btop++ v.1.3.0
2025/04/26 (19:02:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/26 (19:02:02) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/26 (19:02:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/26 (19:15:09) | ===> btop++ v.1.3.0
2025/04/26 (19:15:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/26 (19:15:09) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/26 (19:15:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/28 (14:05:44) | ===> btop++ v.1.3.0
2025/04/28 (14:05:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/28 (14:05:44) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/28 (14:05:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/28 (23:17:03) | ===> btop++ v.1.3.0
2025/04/28 (23:17:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/28 (23:17:03) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/28 (23:17:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/28 (23:47:07) | ===> btop++ v.1.3.0
2025/04/28 (23:47:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/28 (23:47:07) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/28 (23:47:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
